BK	NBR	ANS	QUESTION	CHOICE  A	CHOICE  B	CHOICE  C	CHOICE  D	ILLUSTRATION
1	26	B	INLAND ONLY A law enforcement boat may display a __________.	blue flag	flashing blue light	flashing red light	flashing amber light	
1	27	B	"INLAND ONLY Your vessel is meeting another vessel head-on.  To comply with the rules, you should exchange __________."	"one short blast, alter course to port, and pass starboard to starboard"	"one short blast, alter course to starboard, and pass port to port"	"two short blasts, alter course to port, and pass starboard  to starboard"	"two short blasts, alter course to starboard, and pass port  to port"	
1	28	B	"INLAND ONLY A vessel overtaking another in a narrow channel, and wishing to pass on the other vessel's port side, would  sound a whistle signal of __________."	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	
1	29	C	INLAND ONLY  A fleet of moored barges extends into a navigable channel.  What is the color of the lights on the barges?	Red	Amber	White	Yellow	
1	30	C	"INLAND ONLY Which signal must a power-driven vessel give, in addition to one prolonged blast, when backing out of a berth with another vessel in sight?"	2 short blasts	1 blast	3 short blasts	4 blasts	
1	31	D	"INLAND ONLY At night, a light signal consisting of two flashes by a vessel indicates __________."	an intention to communicate over radiotelephone	that the vessel is in distress	an intention to leave another vessel to port	an intention to leave another vessel to starboard	
1	32	B	INLAND ONLY You are overtaking a power-driven vessel in a narrow channel and wish to leave her on your starboard side.  You may __________.	proceed to overtake her without sounding whistle signals	attempt to contact her on the radiotelephone to arrange for the passage	sound four short blasts	Any of the above	
1	33	A	"INLAND ONLY For the purpose of the Inland Navigation Rules, the term ""inland waters"" includes __________."	the Great Lakes on the United States side of the International Boundary	the water surrounding any islands of the United States	"the coastline of the United States, out to one mile offshore"	any lakes within state boundaries	
1	34	A	"INLAND ONLY  A barge more than 50 meters long is required to show how many white anchor lights when anchored in a Secretary approved ""special anchorage area""?"	2	1	3	None	
1	35	C	"INLAND ONLY You are on vessel ""B"" and vessel ""A"" desires to overtake you on your starboard side as shown.  After the vessels have exchanged one blast signals, you should __________."	alter course to the left	"slow your vessel until vessel ""A"" has passed"	hold course and speed	"alter course to the left or right to give vessel ""A"" more sea room"	DIAGRAM_9
1	36	D	INLAND ONLY Which type of vessel is NOT mentioned in the Inland Navigation Rules?	"An inconspicuous, partly submerged vessel"	A seaplane	An air-cushion vessel	A vessel constrained by her draft	
1	37	A	"INLAND ONLY You are operating a vessel through a narrow channel and your vessel must stay within the channel to be  navigated safely.  Another vessel is crossing your course from starboard to port, and you are in doubt as to her intentions.  You __________."	must sound the danger signal	are required to back down	may sound the danger signal	should sound one short blast to show that you are holding course and speed	
1	38	C	"INLAND ONLY Your vessel is meeting another vessel head-on.  To comply with the rules, you should exchange __________."	"one short blast, alter course to the left, and pass starboard to starboard"	"two short blasts, alter course to the left, and pass starboard to starboard"	"one short blast, alter course to the right, and pass port to port"	"two short blasts, alter course to the right, and pass port  to port"	
1	39	D	INLAND ONLY Which indicates the presence of a partly submerged object being towed?	A diamond shape on the towed object	An all-round light at each end of the towed object	A searchlight beamed from the towing vessel in the direction of the tow	All of the above	
1	40	C	INLAND ONLY The light used to signal passing intentions is  a(n) __________.	all-round white light ONLY	all-round yellow light ONLY	all-round white or yellow light	light of any color	
1	41	B	"INLAND ONLY Two vessels in a crossing situation have reached agreement by radiotelephone as to the intentions of the other.  In this situation, whistle signals are __________."	required	"not required, but may be sounded"	required if crossing within half a mile	required when crossing within one mile	
1	42	A	"INLAND ONLY You are underway in a narrow channel, and are being overtaken by another power-driven vessel.  The overtaking vessel sounds the signal indicating his intention to pass you on your starboard side.  You signal your agreement by sounding __________."	one short blast	two prolonged blasts	two prolonged followed by two short blasts	"one prolonged, one short, one prolonged, and one short blast in that order"	
1	43	B	INLAND ONLY You are meeting another vessel head-on and sound one short blast as a passing signal.  The other vessel answers with two short blasts.  What should be your next action?	Pass on the other vessel's starboard side.	Sound the danger signal.	Pass astern of the other vessel.	Hold your course and speed.	
1	44	B	"INLAND ONLY What lights are required for a barge being pushed ahead, not being part of a composite unit?"	Sidelights and a stern light	Sidelights and a special flashing light	"Sidelights, a towing light, and a stern light"	"Sidelights, a special flashing light, and a stern light"	
1	45	B	"INLAND ONLY You are overtaking another power-driven vessel  in a narrow channel, and you wish to overtake on the other  vessel's port side.  You will sound a whistle signal of __________."	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	
1	46	A	"INLAND ONLY At night, a barge moored in a slip used primarily for mooring purposes shall __________."	not be required to be lighted	show a white light at each corner	show a red light at the bow and stern	show a flashing yellow light at each corner	
1	47	A	INLAND ONLY A flashing blue light is used to identify __________.	law enforcement vessels	U.S. submarines	air-cushion vessels in the nondisplacement mode	dredge pipelines on trestles	
1	48	A	"INLAND ONLY  Which statement is TRUE concerning the fog signal of a vessel 15 meters in length, anchored in a ""special anchorage area"" approved by the Secretary?"	The vessel is not required to sound a fog signal.	The vessel shall ring a bell for 5 seconds every minute.	The vessel shall sound one blast of the foghorn every 2 minutes.	The vessel shall sound three blasts on the whistle every 2  minutes.	
1	49	C	"INLAND ONLY A power-driven vessel, when leaving a dock or berth, is required to sound __________."	four short blasts	one long blast	one prolonged blast	No signal is required.	
1	50	C	"INLAND ONLY Vessels ""A"" and ""B"" are meeting on a river as shown and will pass about 1/4 mile apart. Which statement is TRUE?"	Both vessels should continue on course and pass without sounding any whistle signals.	The vessels should exchange two blast whistle signals and pass port to port.	The vessels should exchange two blast whistle signals and pass starboard to starboard.	The vessels should pass port to port and must sound whistle signals only if either vessel changes course.	DIAGRAM_29
1	51	A	INLAND ONLY Which statement is TRUE concerning the Inland Navigation Rules?	They list requirements for Traffic Separation Schemes.	They define moderate speed.	They require communication by radiotelephone to reach a passing agreement.	All of the above	
1	52	A	INLAND ONLY Whistle signals shall be exchanged by vessels in sight of one another when __________.	they are passing within half a mile of each other	passing agreements have been made by radio	course changes are necessary to pass	doubt exists as to which side the vessels will pass on	
1	53	C	"INLAND ONLY You are on vessel ""A"" and vessel ""B"" desires to overtake you on the starboard side as shown.  After the vessels have exchanged one blast signals you should __________."	alter course to the left	"slow your vessel until vessel ""B"" has passed"	hold course and speed	"alter course to the left or right to give vessel ""B"" more sea room"	DIAGRAM_38
1	54	B	"INLAND ONLY  A barge more than 50 meters long would be required to show how many white anchor lights when anchored in a Secretary approved ""special anchorage area""?"	1	2	3	None	
1	55	B	INLAND ONLY The lights shown are those of a __________.	pipeline	vessel pushing ahead	vessel being towed astern	vessel underway and dredging	DIAGRAM_75
1	56	C	INLAND ONLY Your vessel must remain in a narrow channel for safe operation.  Another vessel is crossing the channel from your starboard.  You do not think she will pass safely.  You MUST __________.	"stop your vessel, since the other vessel has the right of way"	"sound one short blast of the whistle, and turn to starboard"	sound the danger signal	"stop your engines, and you may sound the danger signal"	
1	57	A	INLAND ONLY While underway during the day you sight a small motorboat showing a flashing blue light.  The blue light indicates a __________.	law enforcement boat	boat involved in a race	Coast Guard Auxiliary Vessel on regatta patrol	rescue boat	
1	58	D	"INLAND ONLY While underway, you sight the lights as shown, with the yellow lights flashing.  You should __________."	wait until the vessel ahead crosses your bow	stop until the red lights turn green	proceed leaving all the lights on your starboard side	pass between the two sets of vertical red lights	DIAGRAM_81
1	59	A	"INLAND ONLY When power-driven vessels are in a crossing situation, one short blast by either vessel would mean __________."	"""I intend to leave you on my port side"""	"""I intend to hold course and speed"""	"""I intend to change course to starboard"""	"""I request a departure from the rules"""	
1	60	C	INLAND ONLY Two vessels are meeting on a clear day and will pass less than half a mile apart.  In this situation whistle signals __________.	must be exchanged	may be exchanged	must be exchanged if passing agreements have not been made  by radio	must be exchanged only if course changes are necessary by either vessel	
1	61	A	INLAND ONLY Your power-driven vessel is overtaking another  power-driven vessel in a narrow channel.  You wish to overtake her on her starboard side. You should sound a whistle signal of __________.	one short blast	two prolonged blasts followed by one short blast	one prolonged and one short blast	at least five short blasts	
1	62	A	INLAND ONLY Which is TRUE of a vessel downbound with a following current when meeting an upbound vessel on the Western Rivers?	She has the right-of-way only if she is a power-driven vessel.	She has the right-of-way only if she has a tow.	"She does not have the right-of-way, since the other vessel  is not crossing the river."	She must wait for a whistle signal from the upbound vessel.	
1	63	B	"INLAND ONLY A vessel of less than 20 meters in length at anchor at night in a ""special anchorage area designated by the Secretary"" __________."	must show one white light	need not show any lights	must show two white lights	need show a light only on the approach of another vessel	
1	64	A	"INLAND ONLY  At night, which lights are required on barges moored in a group formation more than two barges wide?"	Two unobstructed all-round white lights	All-round white lights placed at the corners of each barge in the group	Two unobstructed all-round yellow lights	Two red lights in a vertical line at the corner extremities of the group	
1	65	B	INLAND ONLY A power-driven vessel intends to overtake another power-driven vessel on  the overtaken vessel's port side.  Which whistle signal should be sounded in order to state this intention?	1 short blast	2 short blasts	2 prolonged and 1 short blasts	2 prolonged and 2 short blasts	
1	66	B	INLAND ONLY A towing vessel pushing ahead on the Western Rivers above the Huey P. Long bridge must show __________.	sidelights only	sidelights and towing lights	"sidelights, towing lights, and two masthead lights"	"sidelights, towing lights, and three masthead lights"	
1	67	C	"INLAND ONLY A power-driven vessel, when leaving a dock or berth, is required to sound __________."	two short blasts	one long blast	one prolonged blast	the danger signal	
1	68	D	"INLAND ONLY Which is CORRECT regarding a ""special flashing light""?"	It must be yellow in color.	It must be placed as far forward as possible.	It must not show through an arc of more than 225°.	All of the above	
1	69	A	"INLAND ONLY For the purpose of the Inland Navigation Rules, the term ""Inland Waters"" includes __________."	"the Western Rivers, extending to the COLREGS demarcation line"	harbors and rivers to the outermost aids to navigation	waters along the coast of the United States to a distance of two miles offshore	None of the above	
1	70	A	"INLAND ONLY Vessels ""A"" and ""B"" are meeting in a narrow channel as shown.  Which statement is TRUE concerning whistle signals between the vessels?"	Both vessels should sound two short blasts.	Both vessels should sound one short blast.	"Vessel ""A"" should sound one short blast and vessel ""B"" should sound two short blasts."	Neither vessel should sound any signal as no course change  is necessary.	DIAGRAM_29
1	71	D	"INLAND ONLY Which is TRUE of a power-driven vessel, bound downstream, when meeting an upbound vessel on the Western Rivers?"	She has the right-of-way.	She shall propose the manner of passage.	She shall initiate maneuvering signals.	All of the above	
1	72	C	INLAND ONLY You are approaching a vessel displaying the lights as shown.  This is a(n) __________.	meeting head-on situation	crossing situation	overtaking situation	special circumstance situation	DIAGRAM_75
1	73	D	INLAND ONLY You are overtaking a power-driven vessel in a narrow channel and wish to leave her on your starboard side.  You may __________.	sound one short blast	sound four short blasts	overtake her without sounding whistle signals	attempt to contact her on the radiotelephone to arrange for the passage	
1	74	B	INLAND ONLY Which term is NOT used in the Inland Navigation Rules?	A vessel engaged in mineclearing operations	A vessel constrained by her draft	A vessel towing	A vessel engaged in fishing	
1	75	C	"INLAND ONLY You are on vessel ""A"", and vessel ""B"" desires to overtake you on your starboard side as shown. After the vessels have exchanged one blast signals, you should __________."	alter course to the left	"slow your vessel until vessel ""B"" has passed"	hold course and speed	"alter course to the left to give vessel ""B"" more sea room"	DIAGRAM_31
1	76	A	INLAND ONLY A special flashing light is used on a vessel(s) __________.	being pushed ahead	at anchor in a fairway	towed astern	All of the above	
1	77	B	"INLAND ONLY Vessels ""A"" and ""B"" are meeting on a river as shown and will pass about 1/4 mile apart. What action should the vessels take?"	Both vessels should continue on course and pass without sounding any whistle signals.	The vessels should exchange two blast whistle signals and pass starboard to starboard.	The vessels should exchange one blast whistle signals and pass starboard to starboard.	The vessels should pass starboard to starboard and must sound whistle signals only if either vessel changes course.	DIAGRAM_41
1	78	D	"INLAND ONLY Under the Inland Navigation Rules, what is the  meaning of a one short blast signal used when meeting another vessel?"	"""I am turning to starboard."""	"""I am turning to port."""	"""I intend to leave you on my starboard side."""	"""I intend to leave you on my port side."""	
1	79	C	"INLAND ONLY On the Western Rivers, a power-driven vessel crossing a river must __________."	maintain course and speed as you have the right of way over all vessels	keep out of the way of any vessel descending the river	keep out of the way of a power-driven vessel ascending or descending the river	None of the above	
1	80	C	"INLAND ONLY While underway at night, you see two yellow lights displayed in a vertical line.  This should indicate  to you a(n) __________."	opening in a pipeline	vessel broken down	vessel pushing ahead	vessel fishing	
1	81	B	"INLAND ONLY When two power-driven vessels are meeting on the Great Lakes, Western Rivers, or waters specified by the Secretary, where there is a current, which vessel shall sound the first passing signal?"	The vessel going upstream stemming the current	The vessel downbound with a following current	The vessel that is towing regardless of the current	Either vessel	
1	82	B	INLAND ONLY A vessel leaving a dock or berth must sound a prolonged blast of the whistle only if __________.	other vessels can be seen approaching	she is a power-driven vessel	visibility is restricted	her engines are going astern	
1	83	C	"INLAND ONLY If your tug is pushing a barge ahead at night and it is not a composite unit,  which light(s) should show aft on your vessel?"	A white stern light	Two red lights	Two towing lights	A towing light over the stern light	
1	84	D	INLAND ONLY You are in charge of a power-driven vessel crossing a river on the Western Rivers.  You must keep out  of the way of a __________.	sail vessel descending the river	power-driven vessel ascending the river	sail vessel ascending the river	All of the above	
1	85	D	"INLAND ONLY A power-driven vessel crossing a river on the Great Lakes or Western Rivers, must keep out of the way of a power-driven  vessel __________."	descending the river with a tow	ascending the river with a tow	ascending the river without a tow	All of the above	
1	86	C	INLAND ONLY What is the whistle signal used to indicate a power-driven vessel leaving a dock?	One short blast	Three short blasts	One prolonged blast	Three prolonged blasts	
1	87	D	INLAND ONLY Which statement is TRUE concerning the light used for maneuvering signals?	It must be synchronized with the whistle.	It may be white or yellow.	It must be an all-round light.	All of the above	
1	88	B	"INLAND ONLY Two power-driven vessels are meeting in the situation as shown.  One short blast by vessel ""A"" means __________."	"""I am altering my course to starboard"""	"""I intend to leave you on my port side"""	"""My intention is to hold course and speed"""	"""I intend to pass on your starboard side"""	DIAGRAM_37
1	89	B	INLAND ONLY Your vessel must stay within a narrow channel to be navigated safely.  Another vessel is crossing your course from starboard to port.  You do NOT think she will pass safely. You __________.	may sound the danger signal	must sound the danger signal	should sound one short blast to indicate that you are holding course and speed	are required to back down	
1	90	C	INLAND ONLY Two vessels are in a starboard to starboard meeting situation and will pass well clear approximately 1/4 mile apart.  Which action should each vessel take?	Sound a one blast whistle signal and turn to starboard.	Maintain course and sound no signal.	Sound a two blast whistle signal and maintain course.	Sound a three blast whistle signal and turn to port.	
1	91	B	BOTH INTERNATIONAL & INLAND Which of the day-shapes shown would you show on the after end of an inconspicuous partially submerged vessel or object being towed over 200 meters in length?	A	B	C	No day-shape would be shown.	DIAGRAM_16
1	92	B	"INLAND ONLY A power-driven vessel pushing ahead or towing alongside on the Mississippi River, below the Huey P. Long  Bridge, shall carry __________."	"two masthead lights, sidelights and stern light"	"two masthead lights, sidelights and two towing lights"	sidelights and two towing lights	"one masthead light, sidelights and stern light"	
1	93	D	INLAND ONLY While underway in a harbor you hear a vessel sound a prolonged blast.  This signal indicates that this vessel __________.	desires to overtake your vessel	is at anchor	is backing her engines	is moving from a dock	
1	94	A	"INLAND ONLY You are overtaking another power-driven vessel and sound a whistle signal indicating that you intend to pass the vessel along her starboard side.  If the other vessel answers your signal with five short and rapid blasts, you should __________."	not overtake the other vessel until both vessels exchange the same passing signal	not overtake the other vessel until she sounds another five short and rapid blast signal	pass the other vessel along her starboard side	sound five short and rapid blasts and pass along her starboard side	
1	95	C	"INLAND ONLY You are meeting another vessel in inland waters, and she sounds one short blast on the whistle.  This means  that she __________."	is changing course to starboard	is changing course to port	intends to leave you on her port side	desires to depart from the Rules	
1	96	A	INLAND ONLY You are approaching a sharp bend in a river. You have sounded a prolonged blast and it has been answered by a vessel on the other side of the bend.  Which statement is TRUE?	Both vessels must exchange passing signals when in sight and passing within one-half mile of each other.	No further whistle signals are necessary.	The vessel downriver must stop her engines and navigate with caution.	Both vessels must immediately sound passing signals whether or not they are in sight of each other.	
1	97	D	INLAND ONLY Which statement is TRUE concerning a passing agreement made by radiotelephone?	Such an agreement is prohibited by the Rules.	A vessel which has made such an agreement must also sound whistle signals.	Whistle signals must still be exchanged when passing within half a mile of each other.	"If agreement is reached by radiotelephone, whistle signals  are optional."	
1	98	C	INLAND ONLY You are aboard the stand-on vessel in a crossing situation.  You sound a one blast whistle signal. The give-way vessel answers with a two blast whistle signal. You should sound the danger signal and __________.	maintain course and speed as you are the stand-on vessel	come around sharply to port	take precautionary action until a safe passing agreement is made	maneuver around the stern of the other vessel	
1	99	C	INLAND ONLY A power-driven vessel when pushing ahead or towing alongside on the Western Rivers (above the Huey P. Long Bridge on the Mississippi River) shall exhibit __________.	"two masthead lights, sidelights, and stern light"	"two masthead lights, sidelights, and two towing lights"	sidelights and two towing lights	"one masthead light, sidelights, and stern light"	
1	100	D	INLAND ONLY Only law enforcement vessels are permitted to show __________.	two red lights in a vertical line	a flashing yellow light	an alternately flashing red and yellow light	a flashing blue light	
1	101	A	INLAND ONLY You are overtaking another power-driven vessel in a narrow channel.  The other vessel will have to move to allow you to pass.  You wish to overtake the other vessel on her starboard side.  Your first whistle signal should be __________.	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	
1	102	A	BOTH INTERNATIONAL & INLAND Which of the day-shapes shown must you show when at anchor?	A	B	C	D	DIAGRAM_16
1	103	B	INLAND ONLY Which light display would mark the opening in a pipeline where vessels could pass through?	Three red lights in a vertical line on each side of the opening	Two red lights in a vertical line on each side of the opening	Three white lights in a vertical line on each side of the opening	Two white lights in a vertical line on each side of the opening	
1	104	A	INLAND ONLY  Which light(s) shall be shown at night on a moored barge which reduces the navigable width of any channel to less than 80 meters?	Two unobstructed all-round white lights	Two yellow lights in a vertical line at the stern	A red light placed on all four corners	A red light placed on the two corners farthest from the bank	
1	105	B	INLAND ONLY You are overtaking another power-driven vessel in a narrow channel.  The other vessel will have to move to allow you to pass.  You wish to overtake the other vessel and leave her  on your starboard side.  Your FIRST whistle signal should be __________.	one short blast	two short blasts	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	
1	106	C	"INLAND ONLY You are overtaking another power-driven vessel and sound a whistle signal indicating that you intend to pass the vessel along her starboard side.  If the other vessel answers your signal with five short and rapid blasts, you should __________."	pass the other vessel along her starboard side	sound five short and rapid blasts and pass along her starboard side	not overtake the other vessel until both vessels exchange the same passing signal	not overtake the other vessel until she sounds another five short and rapid blast signal	
1	107	D	INLAND ONLY A power-driven vessel intends to overtake another power-driven vessel on the overtaken vessel's port  side. What whistle signal should be sounded in order to state this intention?	1 prolonged and 1 short blast	1 short blast	2 prolonged and 2 short blasts	2 short blasts	
1	108	D	INLAND ONLY You are overtaking another power-driven vessel in a narrow channel.  The other vessel will have to move to allow you to pass.  You wish to overtake the other vessel and leave her  on your starboard side.  Your first whistle signal should be __________.	two prolonged blasts followed by one short blast	two prolonged blasts followed by two short blasts	one short blast	two short blasts	
1	109	C	"BOTH INTERNATIONAL & INLAND  Vessel ""A"" is overtaking vessel ""B"" as shown.  Vessel ""B"" is an air-cushion vessel operating in the nondisplacement mode.  In addition to a steady white light which other light will vessel ""A"" observe on vessel ""B""?"	Steady green light	Flashing red light	Flashing yellow light	Flashing white light	DIAGRAM_17
1	110	B	"INLAND ONLY  Which statement is TRUE concerning the fog signal of a sailing vessel 25 meters in length, anchored in a ""special anchorage area"" approved by the Secretary?"	The vessel is not required to sound a fog signal.	The vessel shall ring a bell for 5 seconds every minute.	The vessel shall sound one blast of the whistle every 2 minutes.	The vessel shall sound three blasts on the whistle every 2  minutes.	
1	111	A	INLAND ONLY Which light display marks the opening in a pipeline where vessels could pass through?	Two red lights in a vertical line on each side of the opening	Three red lights in a vertical line on each side of the opening	Two yellow lights in a vertical line on each side of the opening	Three white lights in a vertical line on each side of the opening	
1	112	C	"INLAND ONLY While underway, you sight the lights shown, with the yellow lights flashing.  You should __________."	wait until the vessel ahead crosses your bow	stop until the red lights turn green	pass between the two sets of vertical red lights	"proceed, leaving all the lights on your starboard side"	DIAGRAM_81
1	113	D	"INLAND ONLY At night, a barge moored in a slip used primarily for mooring purposes shall __________."	show a flashing yellow light at each corner	show a white light at each corner	show a red light at the bow and stern	not be required to be lighted	
1	114	C	"INLAND ONLY  At night, what lights are required on barges moored in a group formation more than two barges wide?"	All-round yellow lights placed at the corners of each barge in the group	Two yellow lights in a vertical line at the corner extremities of the group	Two unobstructed all-round white lights	Two unobstructed all-round red lights	
1	115	A	"INLAND ONLY What is true of a ""special flashing light""?"	It may show through an arc of 180°.	It flashes at the rate of 120 flashes per minute.	It is optional below the Baton Rouge Highway Bridge.	All of the above	
1	116	C	BOTH INTERNATIONAL & INLAND You are on a 30-meter fishing vessel.  Which day shape must you show while engaged in fishing?	A	B	C	D	DIAGRAM_16
1	117	B	"INLAND ONLY Which is a characteristic of a ""special flashing light""?"	It is required for all vessels being pushed ahead as part of a composite unit.	It must show through an arc of not less than 180° nor more than 225°.	It must be of the same character and construction as the masthead light.	All of the above	
1	118	D	"BOTH INTERNATIONAL & INLAND You are on a vessel engaged in fishing, other than trawling, and have gear extending more than 150 meters horizontally from the vessel.  Which day-shape must you show in the direction of the outlying gear?"	A	B	C	D	DIAGRAM_16
1	119	C	INLAND ONLY What MAY be used to indicate the presence of a  partly submerged object being towed?	"A black cone, apex upward"	Two all-round yellow lights at each end of the tow	The beam of a search light from the towing vessel shown in  the direction of the tow	All of the above	
1	120	B	INLAND ONLY What shall be used to indicate the presence of a partly submerged object being towed?	"A black cone, apex downward"	An all-round white light at each end of the tow	A flare-up light	All of the above	
1	122	C	"INLAND ONLY A barge more than 50 meters long is required to show how many white anchor lights when anchored in a Secretary approved ""special anchorage area""?"	None	One	Two	"One, on the near approach of another vessel"	
1	123	C	INLAND ONLY What is not contained in the Inland Navigation  Rules?	"An inconspicuous, partly submerged object"	Lights on pipelines	A vessel constrained by her draft	An air-cushion vessel	
1	124	B	INLAND ONLY  Which term is NOT defined in the Inland Navigation Rules?	Towing light	Vessel constrained by her draft	In sight	Restricted visibility	
1	125	D	"INLAND ONLY Under the Inland Navigation Rules, the term ""Inland Waters"" includes __________."	any waters marked by U.S. aids to navigation	harbors and rivers to the outermost aids to navigation	waters along the coast of the United States to a distance of two miles offshore	"the Western Rivers, extending to the COLREGS demarcation line"	
1	126	B	"INLAND ONLY  For the purpose of the Inland Navigation Rules, the term ""Inland Waters"" includes __________."	the waters surrounding any islands of the U.S.	the Great Lakes on the United States side of the boundary	"the coastline of the United States, out to one mile offshore"	any lakes within state boundaries	
